Time (s),W,X,Y,Z
3.839947700,-0.3663144,-0.1510352,0.2007591,-0.8940501
3.859960079,-0.3654086,-0.1532139,0.2094877,-0.8920452
3.879972935,-0.3626017,-0.147349,0.2201463,-0.8916118
3.899985313,-0.3607765,-0.1385748,0.2292307,-0.8914698
3.919998169,-0.3588086,-0.1289356,0.2430275,-0.8900546
3.940011024,-0.3602729,-0.124716,0.2446837,-0.8896106
3.960023403,-0.3615968,-0.1177024,0.2478756,-0.8891453
3.980036736,-0.363902,-0.1171002,0.2458587,-0.8888441
4.000049114,-0.364351,-0.1131316,0.2411906,-0.8904517
4.020062447,-0.3643354,-0.1107539,0.2408807,-0.8908408
4.040074825,-0.3643359,-0.1073748,0.2394478,-0.8916403
4.060087681,-0.3641931,-0.1055353,0.2390955,-0.8920127
4.080100536,-0.3642365,-0.1041283,0.2380531,-0.8924391
4.100113392,-0.3643157,-0.1035409,0.2368344,-0.8927992
4.120125771,-0.3646419,-0.1040358,0.2338515,-0.8933947
4.140139103,-0.3649006,-0.1062361,0.232096,-0.8934878
4.160151482,-0.3654,-0.1084311,0.2305239,-0.8934271
4.180163860,-0.3660003,-0.1111839,0.2296967,-0.8930561
4.200177193,-0.3665831,-0.1147,0.23079,-0.89209
4.220189571,-0.3672103,-0.1177207,0.2314196,-0.891275
4.240202904,-0.3678268,-0.1212889,0.2339943,-0.889869
4.260215283,-0.3674367,-0.1232568,0.2395882,-0.8882698
4.280228138,-0.3670207,-0.1250148,0.244455,-0.8868689
4.300240517,-0.3673521,-0.1243736,0.2485687,-0.8856776
4.320253849,-0.3676472,-0.1221911,0.2532879,-0.8845212
4.340266228,-0.3673581,-0.1152938,0.2589272,-0.8839343
4.360279560,-0.3679596,-0.1093178,0.2588957,-0.8844525
4.380291939,-0.3687943,-0.104459,0.2596246,-0.8844782
4.400304794,-0.3698605,-0.0983976,0.2565017,-0.8856386
4.420317650,-0.3708126,-0.09682035,0.2560709,-0.885539
4.440330029,-0.3710452,-0.09386945,0.2541437,-0.8863142
4.460342884,-0.3716262,-0.09242871,0.2498252,-0.8874492
4.480355739,-0.3739375,-0.09346643,0.2473588,-0.8870604
4.500368595,-0.3776237,-0.09424852,0.2429387,-0.8866374
4.520380974,-0.3808821,-0.09800634,0.2421024,-0.8850637
4.540394306,-0.384196,-0.1015409,0.2399481,-0.8838187
4.560406685,-0.3873018,-0.1049212,0.2392464,-0.8822572
4.580420017,-0.3902925,-0.1083721,0.2386578,-0.88068
4.600432396,-0.3926382,-0.1116366,0.2394623,-0.8790097
4.620445251,-0.3940314,-0.1124745,0.242376,-0.8774795
4.640458107,-0.3951349,-0.1135587,0.244702,-0.8761972
4.660470962,-0.396761,-0.1122829,0.2472193,-0.8749192
4.680483341,-0.3981609,-0.1067374,0.2482972,-0.8746721
4.700496674,-0.3992314,-0.100025,0.2486936,-0.8748648
4.720509052,-0.4003318,-0.09366743,0.2475961,-0.8753769
4.740521431,-0.4017098,-0.08764148,0.2446321,-0.8762026
