Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
3.021925449,-9.421175,-6.884556,0.5488747,0.04186533,-0.08955067,0.9939978,-26.34483,23.95673,-5.113488,882.2625
3.041938305,-8.559299,-2.0417,0.9146,0.03295311,-0.05742684,1.068154,-28.51477,23.61548,-1.837267,882.2625
3.061950684,-16.624,-5.05372,0.4879205,0.116723,-0.1838927,0.9963402,-28.51477,23.61548,-1.837267,882.2607
3.081964016,-15.94681,-11.60929,1.646051,0.06039997,-0.1112492,1.042185,-30.67123,22.54451,0.1931419,882.2607
3.101976395,-7.63586,-3.163825,0.4879205,0.07795601,-0.09606002,1.064587,-30.67123,22.54451,0.1931419,882.2524
3.121989727,-9.913676,-5.939609,1.036508,0.08644567,-0.1403993,0.9429837,-30.67123,22.54451,0.1931419,882.2524
3.142002106,-14.46931,-6.175846,0.6707832,0.09120368,-0.148959,1.059358,-31.74508,24.02277,2.613266,882.2506
3.162014484,-14.59243,-3.222884,0.3050579,-0.00965916,-0.1828781,0.8201153,-31.74508,24.02277,2.613266,882.2506
3.179525852,-14.53087,-2.986648,0.9146,-0.008919314,-0.1859931,1.024449,-31.74508,24.02277,2.613266,882.2491
3.199538708,-25.91995,1.560913,1.280325,-0.01409795,-0.1852824,0.8558324,-32.49046,23.29223,5.092583,882.2491
3.219551086,-11.94524,-11.78647,0.6707832,0.07920305,-0.1186106,1.267312,-32.49046,23.29223,5.092583,882.2524
3.239564419,1.90634,-4.935602,0.5488747,-0.01727624,-0.1778182,0.6437977,-32.50243,23.65337,6.710606,882.2524
3.259576798,-28.19776,-1.451108,1.889868,0.04125412,-0.14135,1.135602,-32.50243,23.65337,6.710606,882.2557
3.279590130,-16.50087,-9.66034,0.4269663,0.09288295,-0.1831792,0.9030334,-32.50243,23.65337,6.710606,882.2557
3.299602509,-38.97121,-10.60529,2.987043,0.1550352,-0.1566352,1.231474,-32.88551,24.38966,7.953134,882.2575
3.319615364,-20.564,16.44384,1.097463,0.01250289,-0.3086786,0.7684131,-32.88551,24.38966,7.953134,882.2575
3.339628220,-21.11806,0.9703206,1.646051,0.0922358,-0.02417652,1.338184,-31.48007,24.66447,9.583583,882.2607
